customer_id,gender,senior_citizen,tenure,contract_type,internet_service,payment_method,monthly_charges,total_charges,num_products,support_calls,churn
CUST00001,Male,0,52,Month-to-month,Fiber optic,Mailed check,100.15,5182.88,5,6.0,1
CUST00002,Male,0,15,Month-to-month,DSL,Bank transfer,115.96,1714.73,3,7.0,1
CUST00003,Male,0,72,Month-to-month,Fiber optic,Bank transfer,68.79,4910.74,2,2.0,0
CUST00004,Male,1,61,Month-to-month,No,Mailed check,30.97,1795.15,1,4.0,1
CUST00005,Male,0,21,One year,Fiber optic,Bank transfer,74.8,1582.18,2,1.0,0
CUST00006,Female,0,24,Month-to-month,Fiber optic,Mailed check,65.44,1656.14,5,9.0,1
CUST00007,Male,0,3,One year,No,Credit card,104.44,310.17,1,6.0,1
CUST00008,Female,0,22,Month-to-month,Fiber optic,Bank transfer,29.81,563.25,2,7.0,1
CUST00009,Male,0,53,Two year,DSL,Electronic check,68.82,3686.7,2,8.0,1
CUST00010,Female,0,2,One year,DSL,Bank transfer,35.0,-11.23,4,6.0,0
CUST00011,Female,0,30,One year,No,Mailed check,52.47,1513.58,5,9.0,0
CUST00012,Female,0,38,Month-to-month,Fiber optic,Electronic check,93.74,3550.04,4,9.0,1
CUST00013,Female,0,2,Month-to-month,DSL,Mailed check,67.6,141.35,1,7.0,0
CUST00014,Female,0,64,Month-to-month,Fiber optic,Bank transfer,57.59,3635.25,4,8.0,1
CUST00015,Female,1,60,One year,Fiber optic,Electronic check,59.45,3552.99,5,5.0,0
CUST00016,Male,0,21,Month-to-month,No,Electronic check,65.94,1420.6,3,9.0,0
CUST00017,Male,0,33,Two year,DSL,Bank transfer,98.5,3293.16,3,1.0,0
CUST00018,Male,0,58,Two year,Fiber optic,Electronic check,109.21,6396.66,1,1.0,0
CUST00019,Male,1,22,Month-to-month,No,Credit card,115.53,2637.21,3,3.0,1
CUST00020,Male,0,49,Two year,DSL,Electronic check,98.69,4876.32,4,8.0,0
CUST00021,Male,0,59,Month-to-month,DSL,Electronic check,51.54,3030.06,1,6.0,0
CUST00022,Female,0,42,Month-to-month,No,Credit card,88.81,3773.13,5,1.0,0
CUST00023,Male,0,60,Month-to-month,Fiber optic,Mailed check,63.76,3848.95,1,7.0,1
CUST00024,Female,0,15,One year,Fiber optic,Mailed check,45.47,707.32,1,6.0,1
CUST00025,Female,1,62,Month-to-month,Fiber optic,Credit card,104.09,6462.26,2,8.0,1
CUST00026,Female,0,62,Two year,DSL,Electronic check,23.84,1432.64,2,7.0,0
CUST00027,Female,0,47,Month-to-month,No,Bank transfer,110.18,5126.88,1,2.0,0
CUST00028,Female,0,62,Month-to-month,DSL,Credit card,66.15,4096.3,3,0.0,1
CUST00029,Female,0,51,Two year,DSL,Bank transfer,83.72,4277.17,2,1.0,0
CUST00030,Male,0,55,Month-to-month,DSL,Mailed check,85.94,4692.47,5,1.0,0
CUST00031,Female,0,64,Month-to-month,DSL,Credit card,109.51,7029.92,4,3.0,0
CUST00032,Female,0,3,One year,Fiber optic,Bank transfer,83.67,355.04,2,5.0,0
CUST00033,Male,0,51,Month-to-month,Fiber optic,Electronic check,81.39,4063.84,1,3.0,1
CUST00034,Male,0,7,Month-to-month,No,Credit card,26.67,215.77,3,8.0,1
CUST00035,Male,1,21,Month-to-month,Fiber optic,Bank transfer,71.84,1505.36,4,3.0,1
CUST00036,Male,0,39,Month-to-month,Fiber optic,Credit card,35.02,1388.19,2,5.0,0
CUST00037,Male,0,18,Two year,Fiber optic,Credit card,93.74,1665.85,3,5.0,1
CUST00038,Male,0,4,Two year,Fiber optic,Mailed check,71.22,277.59,3,9.0,1
CUST00039,Male,1,60,Month-to-month,Fiber optic,Mailed check,88.02,5287.84,3,9.0,1
CUST00040,Female,0,14,Month-to-month,DSL,Electronic check,24.17,323.26,1,0.0,0
CUST00041,Male,0,9,Month-to-month,DSL,Mailed check,28.48,180.29,5,7.0,1
CUST00042,Female,0,53,Two year,DSL,Mailed check,91.63,4844.82,3,2.0,0
CUST00043,Male,0,2,Month-to-month,Fiber optic,Mailed check,27.21,-16.4,4,5.0,0
CUST00044,Male,1,60,Month-to-month,No,Bank transfer,,1660.2,2,2.0,0
CUST00045,Female,1,71,One year,DSL,Credit card,21.21,1412.69,4,1.0,0
CUST00046,Male,1,44,Two year,DSL,Mailed check,115.65,5140.04,1,4.0,0
CUST00047,Male,0,8,Month-to-month,DSL,Bank transfer,93.75,771.48,1,0.0,1
CUST00048,Male,0,47,Month-to-month,Fiber optic,Credit card,55.33,2621.95,4,8.0,1
CUST00049,Male,0,35,Month-to-month,DSL,Mailed check,49.65,1629.66,5,6.0,0
CUST00050,Male,0,36,Month-to-month,DSL,Mailed check,54.97,1962.5,1,2.0,0
CUST00051,Male,0,50,One year,DSL,Credit card,97.47,4930.95,1,3.0,0
CUST00052,Male,0,4,One year,Fiber optic,Bank transfer,86.14,318.62,4,5.0,0
CUST00053,Female,1,2,One year,Fiber optic,Bank transfer,38.52,23.14,1,2.0,0
CUST00054,Male,1,6,Month-to-month,Fiber optic,Electronic check,37.41,192.63,5,6.0,1
CUST00055,Female,0,54,Month-to-month,DSL,Credit card,29.84,1607.92,5,5.0,1
CUST00056,Female,0,4,Month-to-month,Fiber optic,Electronic check,86.03,301.55,5,8.0,1
CUST00057,Female,0,54,Month-to-month,DSL,Bank transfer,96.44,5269.3,2,4.0,1
CUST00058,Female,0,63,One year,DSL,Mailed check,46.5,2926.56,5,3.0,0
CUST00059,Female,0,18,Month-to-month,Fiber optic,Electronic check,22.09,369.92,5,2.0,1
CUST00060,Female,0,44,Month-to-month,DSL,Bank transfer,28.22,1176.49,2,9.0,0
CUST00061,Female,1,34,Month-to-month,Fiber optic,Bank transfer,116.79,3994.95,3,0.0,0
CUST00062,Male,0,62,Month-to-month,DSL,Mailed check,49.54,3094.84,1,2.0,1
CUST00063,Male,0,14,Month-to-month,DSL,Credit card,96.92,1317.3,5,2.0,1
CUST00064,Male,0,48,Two year,No,Bank transfer,82.47,3846.57,1,6.0,0
CUST00065,Female,0,15,Month-to-month,Fiber optic,Electronic check,58.19,893.45,4,6.0,1
CUST00066,Male,0,72,One year,Fiber optic,Mailed check,40.57,2911.61,1,0.0,0
CUST00067,Female,0,62,Month-to-month,Fiber optic,Credit card,32.14,2009.4,2,2.0,0
CUST00068,Female,1,40,Month-to-month,Fiber optic,Credit card,81.5,3357.91,1,7.0,1
CUST00069,Male,0,53,Two year,Fiber optic,Credit card,97.46,5164.22,1,8.0,0
CUST00070,Female,0,24,Month-to-month,Fiber optic,Bank transfer,84.39,1999.68,1,6.0,1
CUST00071,Female,0,26,One year,DSL,Credit card,73.03,1841.42,3,6.0,0
CUST00072,Male,0,60,Month-to-month,DSL,Bank transfer,24.2,1436.09,3,7.0,1
CUST00073,Female,0,41,Month-to-month,Fiber optic,Mailed check,116.85,4798.83,4,5.0,0
CUST00074,Male,0,29,One year,DSL,Mailed check,99.87,2898.94,2,2.0,0
CUST00075,Female,0,15,Two year,DSL,Credit card,49.28,825.41,1,0.0,0
CUST00076,Female,0,45,Two year,DSL,Mailed check,118.0,5334.82,1,6.0,0
CUST00077,Male,0,65,One year,DSL,Electronic check,80.19,5205.49,1,0.0,0
CUST00078,Male,0,71,Month-to-month,DSL,Electronic check,78.24,5519.87,1,0.0,0
CUST00079,Male,1,9,One year,DSL,Bank transfer,94.81,866.6,3,8.0,0
CUST00080,Female,0,1,One year,DSL,Credit card,101.18,55.83,4,9.0,1
CUST00081,Female,0,8,Month-to-month,DSL,Bank transfer,85.65,,5,6.0,0
CUST00082,Male,0,63,Month-to-month,Fiber optic,Mailed check,32.81,2091.37,2,3.0,1
CUST00083,Male,1,11,Two year,DSL,Credit card,53.83,581.27,1,5.0,0
CUST00084,Male,0,8,Month-to-month,No,Bank transfer,112.81,870.95,4,0.0,0
CUST00085,Female,0,35,Month-to-month,Fiber optic,Credit card,42.46,1376.89,5,6.0,0
CUST00086,Female,0,35,Two year,Fiber optic,Credit card,57.22,2059.78,4,5.0,0
CUST00087,Male,1,33,Month-to-month,Fiber optic,Bank transfer,63.21,2106.02,3,3.0,1
CUST00088,Male,0,5,Month-to-month,DSL,Credit card,63.94,341.08,5,6.0,0
CUST00089,Male,0,41,One year,DSL,Mailed check,81.29,3254.98,4,2.0,0
CUST00090,Female,1,28,Month-to-month,No,Electronic check,114.31,3269.6,3,0.0,1
CUST00091,Male,0,7,One year,DSL,Electronic check,44.07,285.22,4,3.0,0
CUST00092,Male,0,72,Month-to-month,No,Credit card,32.15,2300.37,4,2.0,1
CUST00093,Male,0,12,Month-to-month,Fiber optic,Electronic check,39.75,423.5,5,0.0,0
CUST00094,Female,0,34,Month-to-month,DSL,Credit card,108.69,3606.2,3,,0
CUST00095,Female,0,33,Two year,Fiber optic,Bank transfer,84.58,,1,4.0,0
CUST00096,Male,1,48,Month-to-month,Fiber optic,Mailed check,48.59,2396.68,2,7.0,1
CUST00097,Female,0,23,Month-to-month,DSL,Electronic check,101.59,2328.4,5,0.0,0
CUST00098,Male,0,62,Month-to-month,DSL,Bank transfer,106.14,6546.52,3,3.0,0
CUST00099,Male,1,37,Month-to-month,Fiber optic,Mailed check,104.65,3853.25,4,3.0,0
CUST00100,Male,1,44,Month-to-month,Fiber optic,Electronic check,111.89,4905.8,3,4.0,0
CUST00101,Male,0,35,Month-to-month,DSL,Electronic check,45.22,1522.85,2,6.0,0
CUST00102,Female,0,65,Month-to-month,DSL,Mailed check,95.5,6193.16,2,7.0,1
CUST00103,Male,0,47,Month-to-month,No,Bank transfer,66.05,3112.19,1,5.0,0
CUST00104,Male,0,3,One year,Fiber optic,Bank transfer,104.2,363.51,1,0.0,0
CUST00105,Female,0,1,One year,Fiber optic,Electronic check,92.85,93.56,2,6.0,0
CUST00106,Male,0,5,Month-to-month,No,Mailed check,97.64,409.41,5,2.0,1
CUST00107,Female,0,14,Month-to-month,DSL,Bank transfer,85.62,1216.3,5,5.0,0
CUST00108,Male,0,27,One year,Fiber optic,Mailed check,37.74,1006.26,4,7.0,0
CUST00109,Male,0,9,One year,Fiber optic,Mailed check,74.5,739.04,1,,0
CUST00110,Male,0,15,Month-to-month,Fiber optic,Electronic check,118.47,1848.48,4,9.0,0
CUST00111,Male,0,42,Two year,DSL,Mailed check,113.74,4850.25,1,5.0,1
CUST00112,Female,0,51,Month-to-month,DSL,Mailed check,24.32,1212.11,2,8.0,1
CUST00113,Male,0,63,Month-to-month,Fiber optic,Credit card,36.48,2397.83,5,8.0,0
CUST00114,Female,0,52,Month-to-month,DSL,Mailed check,33.17,1742.54,5,0.0,0
CUST00115,Female,0,4,Two year,No,Bank transfer,92.6,451.71,2,0.0,0
CUST00116,Female,0,23,Month-to-month,DSL,Electronic check,101.78,2315.78,4,0.0,1
CUST00117,Male,0,15,One year,DSL,Electronic check,41.35,605.34,4,7.0,0
CUST00118,Female,0,43,Month-to-month,DSL,Mailed check,70.59,3048.87,3,9.0,1
CUST00119,Female,0,29,Month-to-month,Fiber optic,Mailed check,104.07,3025.63,1,6.0,0
CUST00120,Female,0,36,Month-to-month,No,Bank transfer,93.28,3420.83,4,2.0,1
CUST00121,Male,0,13,Two year,Fiber optic,Credit card,74.22,953.3,2,1.0,0
CUST00122,Male,0,32,Month-to-month,No,Electronic check,79.03,2587.34,4,3.0,0
CUST00123,Female,0,71,Month-to-month,DSL,Credit card,70.84,5065.97,5,2.0,0
CUST00124,Female,0,59,Month-to-month,DSL,Bank transfer,49.75,,1,6.0,0
CUST00125,Male,1,28,Two year,Fiber optic,Electronic check,76.5,2174.8,3,9.0,0
CUST00126,Female,0,66,Month-to-month,No,Bank transfer,88.89,5842.98,1,7.0,1
CUST00127,Female,0,42,Month-to-month,Fiber optic,Mailed check,,4625.47,5,5.0,0
CUST00128,Female,0,45,Month-to-month,Fiber optic,Bank transfer,83.63,3630.09,5,2.0,1
CUST00129,Male,1,62,Two year,DSL,Mailed check,96.11,5992.6,5,5.0,1
CUST00130,Female,1,57,Two year,DSL,Credit card,36.01,1964.18,5,1.0,0
CUST00131,Female,0,6,One year,No,Electronic check,66.16,385.65,2,6.0,0
CUST00132,Male,0,28,Month-to-month,DSL,Electronic check,20.93,581.85,3,9.0,1
CUST00133,Female,0,28,Month-to-month,DSL,Credit card,44.67,1326.08,5,6.0,1
CUST00134,Male,0,44,Two year,Fiber optic,Mailed check,92.65,4041.82,5,3.0,0
CUST00135,Male,0,30,Month-to-month,DSL,Electronic check,119.18,3640.83,4,7.0,0
CUST00136,Male,0,62,Month-to-month,Fiber optic,Bank transfer,29.92,1795.96,3,3.0,1
CUST00137,Female,1,62,Month-to-month,DSL,Mailed check,60.15,3796.6,1,6.0,0
CUST00138,Female,0,1,Two year,Fiber optic,Electronic check,100.01,76.29,3,3.0,0
CUST00139,Female,1,27,Month-to-month,Fiber optic,Bank transfer,40.4,1094.57,3,4.0,1
CUST00140,Female,0,62,One year,Fiber optic,Bank transfer,75.51,4664.71,3,6.0,1
CUST00141,Female,0,3,Two year,Fiber optic,Electronic check,93.31,344.04,5,9.0,0
CUST00142,Female,0,70,Month-to-month,DSL,Credit card,81.6,5766.29,5,2.0,0
CUST00143,Female,0,72,Month-to-month,Fiber optic,Credit card,38.8,2815.95,2,9.0,0
CUST00144,Female,0,27,Two year,Fiber optic,Electronic check,55.54,1441.94,1,4.0,0
CUST00145,Male,0,9,Two year,Fiber optic,Bank transfer,98.38,849.66,4,2.0,1
CUST00146,Female,1,62,Two year,DSL,Credit card,75.42,4624.78,3,4.0,0
CUST00147,Female,0,37,One year,DSL,Credit card,20.52,646.94,1,2.0,0
CUST00148,Male,0,51,Month-to-month,DSL,Credit card,96.1,4964.12,1,9.0,1
CUST00149,Female,0,44,Two year,Fiber optic,Mailed check,23.53,1018.98,2,6.0,0
CUST00150,Male,1,24,Month-to-month,DSL,Credit card,94.57,2252.84,4,0.0,1
CUST00151,Female,0,59,Two year,No,Electronic check,40.25,2449.44,3,8.0,0
CUST00152,Female,0,32,Two year,Fiber optic,Electronic check,115.81,3682.04,4,8.0,1
CUST00153,Male,0,52,One year,Fiber optic,Mailed check,56.79,2911.27,2,4.0,1
CUST00154,Male,0,62,Two year,Fiber optic,Mailed check,52.69,3255.74,5,8.0,0
CUST00155,Female,1,58,One year,DSL,Electronic check,34.89,1966.92,1,9.0,0
CUST00156,Male,0,52,Month-to-month,Fiber optic,Mailed check,50.56,2646.36,3,5.0,0
CUST00157,Female,0,12,One year,Fiber optic,Credit card,107.67,1273.3,5,4.0,1
CUST00158,Female,0,39,Month-to-month,No,Bank transfer,119.63,4640.34,2,2.0,1
CUST00159,Female,0,2,Month-to-month,No,Bank transfer,56.83,83.97,4,7.0,1
CUST00160,Female,0,3,Month-to-month,DSL,Bank transfer,64.86,189.27,1,3.0,1
CUST00161,Female,0,56,Month-to-month,DSL,Electronic check,92.21,5167.77,3,9.0,1
CUST00162,Female,0,59,Two year,Fiber optic,Mailed check,108.62,6382.56,5,2.0,0
CUST00163,Male,0,2,Two year,Fiber optic,Bank transfer,79.3,140.67,5,5.0,1
CUST00164,Male,0,2,Month-to-month,DSL,Credit card,59.15,114.23,1,7.0,1
CUST00165,Male,0,54,Month-to-month,DSL,Credit card,61.26,3299.04,4,8.0,0
CUST00166,Female,0,1,Month-to-month,DSL,Credit card,89.56,91.12,2,5.0,1
CUST00167,Male,0,19,Two year,Fiber optic,Mailed check,20.32,352.28,4,4.0,0
CUST00168,Female,0,2,Month-to-month,No,Bank transfer,81.96,214.15,4,1.0,1
CUST00169,Male,0,53,One year,Fiber optic,Credit card,55.55,2948.95,4,1.0,0
CUST00170,Female,0,44,Two year,Fiber optic,Mailed check,99.42,4349.28,1,8.0,0
CUST00171,Female,0,32,Month-to-month,DSL,Credit card,29.3,954.79,1,1.0,0
CUST00172,Female,1,70,Two year,DSL,Bank transfer,78.82,5513.7,2,1.0,0
CUST00173,Female,0,32,Two year,Fiber optic,Bank transfer,68.1,2092.42,4,2.0,0
CUST00174,Female,0,68,Two year,Fiber optic,Bank transfer,84.23,5744.86,1,2.0,1
CUST00175,Male,0,55,Month-to-month,DSL,Bank transfer,26.49,1405.72,2,3.0,1
